# Multi-region capture from PCPartPicker, 2026-07-26, by tools/pcpp-price-capture.user.js.
#
# REFERENCE DATA, not an input. build_prices.csv is still the single source the site and
# the cards are built from (EUR, Netherlands). This file is the same parts priced in seven
# countries, kept so a future multi-currency build guide has something to start from.
#
# Each column is a REGION, not a currency: nl, de and fr all quote euros and disagree by up
# to 40% on the same part, which is the whole reason regions are the key.
#
# Captured from five parametric part lists plus one /products/cpu/ page per region, so a
# board or PSU row is "the cheapest decent one PCPP picked in that country", not a fixed
# model. Blanks are parts that region's lists did not resolve.
#
# flags: oos = the listing was out of stock, so the price is real but not payable.
part,nl_eur,de_eur,fr_eur,uk_gbp,ca_cad,au_aud,us_usd,flags
1TB NVMe,139.9,138.88,145.99,121.94,189.98,243.41,146.44,
1x16GB DDR5-6000,232.95,,229.99,,294.99,314,212.99,
2TB NVMe,219.5,227.9,211,217.19,359.99,399,279.89,
2x8GB DDR4-3200,102.98,109.9,58.05,112.97,168.5,,99.99,
2x8GB DDR5-6000,229,268.65,259.99,220.94,329.99,389,189.99,
32GB DDR4-3200,229,205.89,199.9,,,319,189.97,
32GB DDR5-6000,399,360.84,,329.99,549.5,,387.97,
Core Ultra 5 250K Plus,226.89,216.82,238.99,209.22,299.99,344.75,216.71,
Core Ultra 7 270K Plus,324.9,315.71,360,294.98,439.99,528,308.58,
Core Ultra 9 285K,550.99,498.99,549.9,524.99,712.8,841.5,496,
Core i5-12400F,149.9,142.53,154.97,139.95,189.95,209,163.99,
Core i5-12600KF,185,173.85,181,163.9,410.99,259,189,ca:oos au:oos
Core i5-14600K,235.99,225.51,269.14,232.86,319.99,502.46,247.95,
Core i7-14700K,398,379.99,410.14,343.68,499.96,595,365.99,
RTX 5050,284.99,262.9,287.08,214.31,419.99,359,289.99,
RTX 5060,316.89,298.9,321.22,274.99,440.54,449,339.99,
RTX 5060 Ti 16GB,578.99,538.9,555.27,499.99,809.99,749,569.99,
RTX 5060 Ti 8GB,351.89,341.9,356.03,319.99,499.99,499,359.99,
RTX 5070,639,578.99,629,532.94,849.99,859,629.99,
RTX 5070 Ti,959,898.9,949,829.99,1319.99,1329,949.97,
RTX 5080,1259,1186.99,1189,1099.98,1769.99,1699,1289.99,
RTX 5090,4249,3929,4099,3259.99,5799.99,6299,3999.99,
RX 9060 XT 16GB,437.8,404.9,439,398.99,629.98,529,444.99,
RX 9060 XT 8GB,348.23,333.9,365.94,319.99,549.99,449,359.99,
RX 9070,599,579.9,629,548.99,868.99,829,639.99,
RX 9070 GRE,559,544.86,564,489.99,759.99,849,549.99,
RX 9070 XT,699,649,685.94,599.99,964.99,949,699.99,
Ryzen 5 5600,134.9,126.9,148.66,121.99,206.01,169,147.76,
Ryzen 5 5600X,156.1,142.79,156.75,147.94,238.96,217.77,178.9,
Ryzen 5 5600XT,158.95,142.9,151.64,159.94,256,225,149.99,ca:oos
Ryzen 5 7500F,133.16,128.99,137.57,124.28,268,239,174.58,
Ryzen 5 7500X3D,219,209.8,224.03,199.99,477.87,398,299.99,
Ryzen 5 7600X,153.05,148.62,153.62,136.49,209.99,244.93,164,
Ryzen 5 9600X,182.99,179,183.37,164.99,274.99,319.93,174.99,
Ryzen 7 5800X3D,357.9,352.47,358.9,299.99,491.99,547.77,346.81,
Ryzen 7 7800X3D,298.67,285.86,321.51,272.18,459.99,491.91,339,
Ryzen 7 9800X3D,399,378,409,350.48,569.99,648,429,
case,59.9,59.9,66.9,49.99,84.98,89,43.98,
cooler_aio,51.76,47.52,49.18,29.99,69,68.77,44.72,
cooler_entry,25.84,16.9,16.29,19.9,24.98,25,17.89,
cooler_mid,33.92,33.39,30.29,24.99,46.61,45,24.52,
mb_am4,84.99,83.1,84.99,75.98,93.96,129,79.98,
mb_am5,111.9,105.42,123.9,109.99,139.99,139,99.99,
mb_lga1700_ddr4,89,86.23,89.9,82.99,135.3,149,99.99,
mb_lga1700_ddr5,107.41,77.95,106.9,94.99,209.99,189,109.99,
mb_lga1851,114.9,107.42,115.9,109.99,155.01,199,109.99,
psu_1000,81.41,77.89,71.9,86.5,128,115,74.98,
psu_650,58.89,54.98,44.99,39.99,79.98,59,41.62,
psu_750b,87.98,77.9,90.9,79.98,85.99,115,61.99,
psu_850,89.9,88.9,91.9,89.94,124.99,125,79.98,
