cpu,vendor,is_x3d,avg_fps,low_1pct,source,review_date,epoch,url,title
Ryzen 9 9950X3D,AMD,1,154.5,125,9950x3d_review,2025-03-12,2025-spring,https://www.tomshardware.com/pc-components/cpus/amd-ryzen-9-9950x3d-review,AMD Ryzen 9 9950X3D Review
Ryzen 7 9800X3D,AMD,1,146.1,117,9950x3d_review,2025-03-12,2025-spring,https://www.tomshardware.com/pc-components/cpus/amd-ryzen-9-9950x3d-review,AMD Ryzen 9 9950X3D Review
Ryzen 9 7950X3D,AMD,1,123.4,93,9950x3d_review,2025-03-12,2025-spring,https://www.tomshardware.com/pc-components/cpus/amd-ryzen-9-9950x3d-review,AMD Ryzen 9 9950X3D Review
Core i9-14900K,Intel,0,120.4,99,9950x3d_review,2025-03-12,2025-spring,https://www.tomshardware.com/pc-components/cpus/amd-ryzen-9-9950x3d-review,AMD Ryzen 9 9950X3D Review
Ryzen 7 7800X3D,AMD,1,118.8,95,9950x3d_review,2025-03-12,2025-spring,https://www.tomshardware.com/pc-components/cpus/amd-ryzen-9-9950x3d-review,AMD Ryzen 9 9950X3D Review
Core i7-14700K,Intel,0,118.5,98,9950x3d_review,2025-03-12,2025-spring,https://www.tomshardware.com/pc-components/cpus/amd-ryzen-9-9950x3d-review,AMD Ryzen 9 9950X3D Review
Ryzen 9 7900X3D,AMD,1,117.3,90,9950x3d_review,2025-03-12,2025-spring,https://www.tomshardware.com/pc-components/cpus/amd-ryzen-9-9950x3d-review,AMD Ryzen 9 9950X3D Review
Core i5-14600K,Intel,0,115.9,93,9950x3d_review,2025-03-12,2025-spring,https://www.tomshardware.com/pc-components/cpus/amd-ryzen-9-9950x3d-review,AMD Ryzen 9 9950X3D Review
Core Ultra 9 285K,Intel,0,110.3,91,9950x3d_review,2025-03-12,2025-spring,https://www.tomshardware.com/pc-components/cpus/amd-ryzen-9-9950x3d-review,AMD Ryzen 9 9950X3D Review
Core Ultra 7 265K,Intel,0,109.0,92,9950x3d_review,2025-03-12,2025-spring,https://www.tomshardware.com/pc-components/cpus/amd-ryzen-9-9950x3d-review,AMD Ryzen 9 9950X3D Review
Ryzen 9 9950X,AMD,0,107.5,89,9950x3d_review,2025-03-12,2025-spring,https://www.tomshardware.com/pc-components/cpus/amd-ryzen-9-9950x3d-review,AMD Ryzen 9 9950X3D Review
Core Ultra 5 245K,Intel,0,107.4,91,9950x3d_review,2025-03-12,2025-spring,https://www.tomshardware.com/pc-components/cpus/amd-ryzen-9-9950x3d-review,AMD Ryzen 9 9950X3D Review
Ryzen 9 9900X,AMD,0,105.4,78,9950x3d_review,2025-03-12,2025-spring,https://www.tomshardware.com/pc-components/cpus/amd-ryzen-9-9950x3d-review,AMD Ryzen 9 9950X3D Review
