GPU,Resolution,Preset,Avg,P1,Date,SourceImage
Arc B580,1440p,Ultra,37.3,31,2025-01-16,B570_1440pUltra_January 16 2025.png
RX 7600 XT,1440p,Ultra,36.3,30,2025-01-16,B570_1440pUltra_January 16 2025.png
Arc A770 16GB,1440p,Ultra,33.2,28,2025-01-16,B570_1440pUltra_January 16 2025.png
RTX 4060,1440p,Ultra,29.7,24,2025-01-16,B570_1440pUltra_January 16 2025.png
Arc B570 ASRock,1440p,Ultra,29.2,18,2025-01-16,B570_1440pUltra_January 16 2025.png
RTX 3060 12GB,1440p,Ultra,27.0,23,2025-01-16,B570_1440pUltra_January 16 2025.png
Arc A750,1440p,Ultra,23.7,19,2025-01-16,B570_1440pUltra_January 16 2025.png
RX 7600,1440p,Ultra,15.1,11,2025-01-16,B570_1440pUltra_January 16 2025.png
RX 6600,1440p,Ultra,14.6,12,2025-01-16,B570_1440pUltra_January 16 2025.png
RTX 5090,1440p,Ultra,99.5,56,2025-01-23,5080_1440pUltra_January 23 2025.png
RTX 4090,1440p,Ultra,96.7,80,2025-01-23,5080_1440pUltra_January 23 2025.png
RX 7900 XTX,1440p,Ultra,90.4,82,2025-01-23,5080_1440pUltra_January 23 2025.png
RTX 5080,1440p,Ultra,84.8,65,2025-01-23,5080_1440pUltra_January 23 2025.png
RTX 4080 Super,1440p,Ultra,80.2,59,2025-01-23,5080_1440pUltra_January 23 2025.png
RTX 5090,1440p,Ultra,112.0,80,2025-02-19,5070Ti_1440pUltra_February 19 2025.png
RTX 4090,1440p,Ultra,96.7,80,2025-02-19,5070Ti_1440pUltra_February 19 2025.png
RX 7900 XTX,1440p,Ultra,90.4,82,2025-02-19,5070Ti_1440pUltra_February 19 2025.png
RTX 5080,1440p,Ultra,84.8,65,2025-02-19,5070Ti_1440pUltra_February 19 2025.png
RX 7900 XT,1440p,Ultra,81.2,72,2025-02-19,5070Ti_1440pUltra_February 19 2025.png
RTX 4080 Super,1440p,Ultra,80.2,66,2025-02-19,5070Ti_1440pUltra_February 19 2025.png
RTX 5070 Ti,1440p,Ultra,78.3,64,2025-02-19,5070Ti_1440pUltra_February 19 2025.png
RTX 4070 Ti Super,1440p,Ultra,70.4,59,2025-02-19,5070Ti_1440pUltra_February 19 2025.png
RTX 4070 Ti,1440p,Ultra,65.6,53,2025-02-19,5070Ti_1440pUltra_February 19 2025.png
RX 7900 XTX,1440p,Ultra,90.4,82,2025-03-04,5070_1440pUltra_March 4 2025.png
RX 7900 XT,1440p,Ultra,81.2,72,2025-03-04,5070_1440pUltra_March 4 2025.png
RTX 4080 Super,1440p,Ultra,80.2,66,2025-03-04,5070_1440pUltra_March 4 2025.png
RTX 5070 Ti,1440p,Ultra,78.3,64,2025-03-04,5070_1440pUltra_March 4 2025.png
RTX 4070 Ti Super,1440p,Ultra,70.4,59,2025-03-04,5070_1440pUltra_March 4 2025.png
RTX 4070 Ti,1440p,Ultra,65.6,53,2025-03-04,5070_1440pUltra_March 4 2025.png
RTX 5070 FE,1440p,Ultra,60.4,50,2025-03-04,5070_1440pUltra_March 4 2025.png
RX 7800 XT,1440p,Ultra,60.1,55,2025-03-04,5070_1440pUltra_March 4 2025.png
RTX 4070,1440p,Ultra,52.2,42,2025-03-04,5070_1440pUltra_March 4 2025.png
RX 9070 XT,1440p,Ultra,90.9,80,2025-03-05,9070XT_1440pUltra_March 5 2025.png
