cpu,vendor,is_x3d,avg_fps,low_1pct,p02_low,source,review_date,scene,site,url
Ryzen 7 9800X3D,AMD,1,93.6,80,73,pcgh_amd_ryzen_5_7500x3d_spiele_benchmarks,2025-11-12,Flight Simulator 2024,PCGH,https://www.pcgameshardware.de/Ryzen-5-7500X3D-CPU-281737/Tests/Benchmark-Effizienz-Spiele-Apps-Vergleich-AMD-Intel-1485721/
Ryzen 9 9950X3D,AMD,1,91.5,76,66,pcgh_amd_ryzen_5_7500x3d_spiele_benchmarks,2025-11-12,Flight Simulator 2024,PCGH,https://www.pcgameshardware.de/Ryzen-5-7500X3D-CPU-281737/Tests/Benchmark-Effizienz-Spiele-Apps-Vergleich-AMD-Intel-1485721/
Ryzen 9 9900X3D,AMD,1,69.6,62,56,pcgh_amd_ryzen_5_7500x3d_spiele_benchmarks,2025-11-12,Flight Simulator 2024,PCGH,https://www.pcgameshardware.de/Ryzen-5-7500X3D-CPU-281737/Tests/Benchmark-Effizienz-Spiele-Apps-Vergleich-AMD-Intel-1485721/
Core i9-14900K,Intel,0,69.3,63,58,pcgh_amd_ryzen_5_7500x3d_spiele_benchmarks,2025-11-12,Flight Simulator 2024,PCGH,https://www.pcgameshardware.de/Ryzen-5-7500X3D-CPU-281737/Tests/Benchmark-Effizienz-Spiele-Apps-Vergleich-AMD-Intel-1485721/
Core i7-14700K,Intel,0,69.3,60,56,pcgh_amd_ryzen_5_7500x3d_spiele_benchmarks,2025-11-12,Flight Simulator 2024,PCGH,https://www.pcgameshardware.de/Ryzen-5-7500X3D-CPU-281737/Tests/Benchmark-Effizienz-Spiele-Apps-Vergleich-AMD-Intel-1485721/
Ryzen 7 7800X3D,AMD,1,66.7,57,49,pcgh_amd_ryzen_5_7500x3d_spiele_benchmarks,2025-11-12,Flight Simulator 2024,PCGH,https://www.pcgameshardware.de/Ryzen-5-7500X3D-CPU-281737/Tests/Benchmark-Effizienz-Spiele-Apps-Vergleich-AMD-Intel-1485721/
Core i5-14600K,Intel,0,66.5,60,56,pcgh_amd_ryzen_5_7500x3d_spiele_benchmarks,2025-11-12,Flight Simulator 2024,PCGH,https://www.pcgameshardware.de/Ryzen-5-7500X3D-CPU-281737/Tests/Benchmark-Effizienz-Spiele-Apps-Vergleich-AMD-Intel-1485721/
Core Ultra 9 285K,Intel,0,66.2,58,55,pcgh_amd_ryzen_5_7500x3d_spiele_benchmarks,2025-11-12,Flight Simulator 2024,PCGH,https://www.pcgameshardware.de/Ryzen-5-7500X3D-CPU-281737/Tests/Benchmark-Effizienz-Spiele-Apps-Vergleich-AMD-Intel-1485721/
Core Ultra 7 265K,Intel,0,64.8,57,54,pcgh_amd_ryzen_5_7500x3d_spiele_benchmarks,2025-11-12,Flight Simulator 2024,PCGH,https://www.pcgameshardware.de/Ryzen-5-7500X3D-CPU-281737/Tests/Benchmark-Effizienz-Spiele-Apps-Vergleich-AMD-Intel-1485721/
Ryzen 9 9950X,AMD,0,64.7,55,50,pcgh_amd_ryzen_5_7500x3d_spiele_benchmarks,2025-11-12,Flight Simulator 2024,PCGH,https://www.pcgameshardware.de/Ryzen-5-7500X3D-CPU-281737/Tests/Benchmark-Effizienz-Spiele-Apps-Vergleich-AMD-Intel-1485721/
